# notes:
# this table was generated applying 10^r to the second column
# because the data was log10(N_e/N_A)
# the negative points were symmetrized to interpolate zero radius
#
#  raio          N_e / N_A
-0.0020271   1.0291673502e+02
-0.0020193   1.0291697200e+02
-0.0020115   1.0291697200e+02
-0.0020035   1.0291720897e+02
-0.0019955   1.0291744595e+02
-0.0019875   1.0291768292e+02
-0.0019794   1.0291768292e+02
-0.0019753   1.0291791990e+02
-0.0019712   1.0291791990e+02
-0.0019671   1.0291791990e+02
-0.0019630   1.0291815688e+02
-0.0019588   1.0291815688e+02
-0.0019546   1.0291815688e+02
-0.0019504   1.0291839386e+02
-0.0019462   1.0291839386e+02
-0.0019420   1.0291839386e+02
-0.0019378   1.0291863084e+02
-0.0019335   1.0291863084e+02
-0.0019292   1.0291863084e+02
-0.0019249   1.0291886782e+02
-0.0019206   1.0291886782e+02
-0.0019163   1.0291910480e+02
-0.0019119   1.0291910480e+02
-0.0019076   1.0291910480e+02
-0.0019032   1.0291934178e+02
-0.0018987   1.0291934178e+02
-0.0018943   1.0291934178e+02
-0.0018899   1.0291957876e+02
-0.0018854   1.0291957876e+02
-0.0018809   1.0291957876e+02
-0.0018764   1.0291981574e+02
-0.0018718   1.0291981574e+02
-0.0018672   1.0292005272e+02
-0.0018627   1.0292005272e+02
-0.0018580   1.0292005272e+02
-0.0018534   1.0292028970e+02
-0.0018487   1.0292028970e+02
-0.0018441   1.0292028970e+02
-0.0018394   1.0292052668e+02
-0.0018346   1.0292052668e+02
-0.0018299   1.0292052668e+02
-0.0018235   1.0292076367e+02
-0.0018171   1.0292076367e+02
-0.0018106   1.0292100065e+02
-0.0018041   1.0292100065e+02
-0.0017975   1.0292123764e+02
-0.0017909   1.0292123764e+02
-0.0017843   1.0292147462e+02
-0.0017776   1.0292147462e+02
-0.0017708   1.0292171161e+02
-0.0017640   1.0292171161e+02
-0.0017571   1.0292194859e+02
-0.0017502   1.0292218558e+02
-0.0017432   1.0292218558e+02
-0.0017362   1.0292242257e+02
-0.0017291   1.0292242257e+02
-0.0017255   1.0292242257e+02
-0.0017220   1.0292265956e+02
-0.0017184   1.0292265956e+02
-0.0017148   1.0292265956e+02
-0.0017111   1.0292265956e+02
-0.0017075   1.0292289654e+02
-0.0017038   1.0292289654e+02
-0.0017002   1.0292289654e+02
-0.0016965   1.0292289654e+02
-0.0016928   1.0292313353e+02
-0.0016890   1.0292313353e+02
-0.0016853   1.0292313353e+02
-0.0016815   1.0292313353e+02
-0.0016740   1.0292337052e+02
-0.0016702   1.0292337052e+02
-0.0016664   1.0292337052e+02
-0.0016625   1.0292360751e+02
-0.0016587   1.0292360751e+02
-0.0016548   1.0292360751e+02
-0.0016509   1.0292360751e+02
-0.0016470   1.0292384450e+02
-0.0016430   1.0292384450e+02
-0.0016391   1.0292384450e+02
-0.0016351   1.0292408150e+02
-0.0016311   1.0292408150e+02
-0.0016271   1.0292408150e+02
-0.0016231   1.0292408150e+02
-0.0016191   1.0292431849e+02
-0.0016150   1.0292431849e+02
-0.0016109   1.0292431849e+02
-0.0016068   1.0292431849e+02
-0.0016027   1.0292455548e+02
-0.0015985   1.0292455548e+02
 0.0015985   1.0292455548e+02
 0.0016027   1.0292455548e+02
 0.0016068   1.0292431849e+02
 0.0016109   1.0292431849e+02
 0.0016150   1.0292431849e+02
 0.0016191   1.0292431849e+02
 0.0016231   1.0292408150e+02
 0.0016271   1.0292408150e+02
 0.0016311   1.0292408150e+02
 0.0016351   1.0292408150e+02
 0.0016391   1.0292384450e+02
 0.0016430   1.0292384450e+02
 0.0016470   1.0292384450e+02
 0.0016509   1.0292360751e+02
 0.0016548   1.0292360751e+02
 0.0016587   1.0292360751e+02
 0.0016625   1.0292360751e+02
 0.0016664   1.0292337052e+02
 0.0016702   1.0292337052e+02
 0.0016740   1.0292337052e+02
 0.0016778   1.0292337052e+02
 0.0016815   1.0292313353e+02
 0.0016853   1.0292313353e+02
 0.0016890   1.0292313353e+02
 0.0016928   1.0292313353e+02
 0.0016965   1.0292289654e+02
 0.0017002   1.0292289654e+02
 0.0017038   1.0292289654e+02
 0.0017075   1.0292289654e+02
 0.0017111   1.0292265956e+02
 0.0017148   1.0292265956e+02
 0.0017184   1.0292265956e+02
 0.0017220   1.0292265956e+02
 0.0017255   1.0292242257e+02
 0.0017291   1.0292242257e+02
 0.0017362   1.0292242257e+02
 0.0017432   1.0292218558e+02
 0.0017502   1.0292218558e+02
 0.0017571   1.0292194859e+02
 0.0017640   1.0292171161e+02
 0.0017708   1.0292171161e+02
 0.0017776   1.0292147462e+02
 0.0017843   1.0292147462e+02
 0.0017909   1.0292123764e+02
 0.0017975   1.0292123764e+02
 0.0018041   1.0292100065e+02
 0.0018106   1.0292100065e+02
 0.0018171   1.0292076367e+02
 0.0018235   1.0292076367e+02
 0.0018299   1.0292052668e+02
 0.0018346   1.0292052668e+02
 0.0018394   1.0292052668e+02
 0.0018441   1.0292028970e+02
 0.0018487   1.0292028970e+02
 0.0018534   1.0292028970e+02
 0.0018580   1.0292005272e+02
 0.0018627   1.0292005272e+02
 0.0018672   1.0292005272e+02
 0.0018718   1.0291981574e+02
 0.0018764   1.0291981574e+02
 0.0018809   1.0291957876e+02
 0.0018854   1.0291957876e+02
 0.0018899   1.0291957876e+02
 0.0018943   1.0291934178e+02
 0.0018987   1.0291934178e+02
 0.0019032   1.0291934178e+02
 0.0019076   1.0291910480e+02
 0.0019119   1.0291910480e+02
 0.0019163   1.0291910480e+02
 0.0019206   1.0291886782e+02
 0.0019249   1.0291886782e+02
 0.0019292   1.0291863084e+02
 0.0019335   1.0291863084e+02
 0.0019378   1.0291863084e+02
 0.0019420   1.0291839386e+02
 0.0019462   1.0291839386e+02
 0.0019504   1.0291839386e+02
 0.0019546   1.0291815688e+02
 0.0019588   1.0291815688e+02
 0.0019630   1.0291815688e+02
 0.0019671   1.0291791990e+02
 0.0019712   1.0291791990e+02
 0.0019753   1.0291791990e+02
 0.0019794   1.0291768292e+02
 0.0019875   1.0291768292e+02
 0.0019955   1.0291744595e+02
 0.0020035   1.0291720897e+02
 0.0020115   1.0291697200e+02
 0.0020193   1.0291697200e+02
 0.0020271   1.0291673502e+02
 0.0020348   1.0291649805e+02
 0.0020425   1.0291649805e+02
 0.0020502   1.0291626107e+02
 0.0020577   1.0291602410e+02
 0.0020652   1.0291602410e+02
 0.0020727   1.0291578713e+02
 0.0020801   1.0291555016e+02
 0.0020874   1.0291555016e+02
 0.0020947   1.0291531318e+02
 0.0020996   1.0291507621e+02
 0.0021052   1.0291507621e+02
 0.0021107   1.0291483924e+02
 0.0021162   1.0291483924e+02
 0.0021216   1.0291460227e+02
 0.0021271   1.0291460227e+02
 0.0021325   1.0291436530e+02
 0.0021378   1.0291436530e+02
 0.0021435   1.0291412834e+02
 0.0021490   1.0291412834e+02
 0.0021546   1.0291389137e+02
 0.0021601   1.0291389137e+02
 0.0021656   1.0291365440e+02
 0.0021711   1.0291365440e+02
 0.0021765   1.0291341743e+02
 0.0021819   1.0291341743e+02
 0.0021875   1.0291318047e+02
 0.0021930   1.0291318047e+02
 0.0021985   1.0291294350e+02
 0.0022040   1.0291270653e+02
 0.0022095   1.0291270653e+02
 0.0022149   1.0291246957e+02
 0.0022203   1.0291246957e+02
 0.0022257   1.0291223260e+02
 0.0022314   1.0291223260e+02
 0.0022371   1.0291199564e+02
 0.0022427   1.0291199564e+02
 0.0022483   1.0291175868e+02
 0.0022539   1.0291152171e+02
 0.0022594   1.0291152171e+02
 0.0022650   1.0291128475e+02
 0.0022705   1.0291128475e+02
 0.0022763   1.0291104779e+02
 0.0022821   1.0291104779e+02
 0.0022878   1.0291081083e+02
 0.0022935   1.0291057387e+02
 0.0022992   1.0291057387e+02
 0.0023049   1.0291033691e+02
 0.0023105   1.0291033691e+02
 0.0023161   1.0291009995e+02
 0.0023221   1.0290986299e+02
 0.0023279   1.0290986299e+02
 0.0023338   1.0290962603e+02
 0.0023397   1.0290962603e+02
 0.0023455   1.0290938907e+02
 0.0023512   1.0290915212e+02
 0.0023570   1.0290915212e+02
 0.0023627   1.0290891516e+02
 0.0023688   1.0290891516e+02
 0.0023748   1.0290867820e+02
 0.0023808   1.0290844125e+02
 0.0023867   1.0290844125e+02
 0.0023926   1.0290820429e+02
 0.0023985   1.0290796734e+02
 0.0024044   1.0290796734e+02
 0.0024102   1.0290773038e+02
 0.0024164   1.0290749343e+02
 0.0024225   1.0290749343e+02
 0.0024287   1.0290725648e+02
 0.0024347   1.0290701952e+02
 0.0024408   1.0290701952e+02
 0.0024468   1.0290678257e+02
 0.0024528   1.0290654562e+02
 0.0024587   1.0290654562e+02
 0.0024651   1.0290630867e+02
 0.0024714   1.0290607172e+02
 0.0024777   1.0290607172e+02
 0.0024840   1.0290583477e+02
 0.0024902   1.0290559782e+02
 0.0024964   1.0290536087e+02
 0.0025026   1.0290536087e+02
 0.0025088   1.0290512392e+02
 0.0025152   1.0290488698e+02
 0.0025217   1.0290488698e+02
 0.0025281   1.0290465003e+02
 0.0025345   1.0290441308e+02
 0.0025409   1.0290417614e+02
 0.0025472   1.0290417614e+02
 0.0025535   1.0290393919e+02
 0.0025598   1.0290370225e+02
 0.0025664   1.0290346530e+02
 0.0025730   1.0290346530e+02
 0.0025795   1.0290322836e+02
 0.0025861   1.0290299142e+02
 0.0025926   1.0290275447e+02
 0.0025990   1.0290251753e+02
 0.0026054   1.0290251753e+02
 0.0026118   1.0290228059e+02
 0.0026186   1.0290204365e+02
 0.0026253   1.0290180671e+02
 0.0026320   1.0290156977e+02
 0.0026387   1.0290156977e+02
 0.0026453   1.0290133283e+02
 0.0026519   1.0290109589e+02
 0.0026584   1.0290085895e+02
 0.0026650   1.0290062202e+02
 0.0026719   1.0290062202e+02
 0.0026787   1.0290038508e+02
 0.0026856   1.0290014814e+02
 0.0026924   1.0289991121e+02
 0.0026991   1.0289967427e+02
 0.0027058   1.0289943733e+02
 0.0027125   1.0289943733e+02
 0.0027192   1.0289920040e+02
 0.0027262   1.0289896347e+02
 0.0027332   1.0289872653e+02
 0.0027402   1.0289848960e+02
 0.0027471   1.0289825267e+02
 0.0027540   1.0289801574e+02
 0.0027609   1.0289801574e+02
 0.0027677   1.0289777881e+02
 0.0027745   1.0289754187e+02
 0.0027817   1.0289730494e+02
 0.0027889   1.0289706801e+02
 0.0027960   1.0289683109e+02
 0.0028031   1.0289659416e+02
 0.0028101   1.0289635723e+02
 0.0028171   1.0289612030e+02
